objectid,parentid,filename,format,title,creator,description,course,date,term,thesis,capstone_advisors,associate_instructors,prototype_link,project_type,project_theme,industry_application,user_groups,degree_book,source,subject,language,reference_url,rights,rightsstatement,display_template,object_location,identifier,image_small,image_thumb,image_alt_text
capstone_2024_manvita_boyini,,capstone_poster_2024_manvita_boyini.pdf,application/pdf,Scribble Pet,Manvita Boyini,"Switching to a drawing tablet can a daunting. Scribble Pet is here to change that by making the learning process fun and interactive. ",I695 HCI/d Capstone Thesis,2024,Fall 2023 - Spring 2024,/hcidepot/objects/thesis/capstone_thesis_2024_manvita_boyini.pdf,Colin M. Gray;Kayce Reed-Buechlein;Michael Stalliings,Fereshtehossadat Shojaei;Patrycja Zdziarska,https://drive.google.com/drive/folders/10Up9X8QXqtiCU3oQT0YBDYuE-PRl0p-b?usp=sharing,Interaction Design,User Experience (UX) Design;Accessibility;Education,Education;Entertainment,Students;General Public;People with Disabilities,,"Luddy School of Informatics, Computing, and Engineering",digital art; drawing tablets; user onboarding; learning curve; interactive tutorials; muscle memory; hand-eye coordination; user engagement; educational games; accessibility in design,eng,,© Student Retains Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,pdf,/objects/capstone_poster_2024_manvita_boyini.pdf,,/objects/small/capstone_poster_2024_manvita_boyini_sm.jpg,/objects/thumbs/capstone_poster_2024_manvita_boyini_th.jpg,Capstone Poster of Manvita Boyini
capstone_2024_aniket_dwivedi,,capstone_poster_2024_aniket_dwivedi.pdf,application/pdf,Synergy,Aniket Dwivedi,How might we establish working relationships and initial alignment among startup teams during project kickoff?,I695 HCI/d Capstone Thesis,2024,Fall 2023 - Spring 2024,/hcidepot/objects/thesis/capstone_thesis_2024_aniket_dwivedi.pdf,Colin M. Gray;Kayce Reed-Buechlein;Michael Stalliings,Fereshtehossadat Shojaei;Patrycja Zdziarska,,Service Design,User Experience (UX) Design;Social Computing,Social Media;Non-Profit;Social Good,Professionals;Students,,"Luddy School of Informatics, Computing, and Engineering",team collaboration;team workflows;start-ups;efficiency,eng,,© Student Retains Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,pdf,/objects/capstone_poster_2024_aniket_dwivedi.pdf,,/objects/small/capstone_poster_2024_aniket_dwivedi_sm.jpg,/objects/thumbs/capstone_poster_2024_aniket_dwivedi_th.jpg,Capstone Poster of Aniket Dwivedi
capstone_2024_nikith_joshua_dsouza,,capstone_poster_2024_nikith_joshua_dsouza.pdf,application/pdf,Eureka!,Nikith DSouza,"A toolkit designed to assist student designers in generating ideas through curveballs and constraints, while promoting collaboration within groups.",I695 HCI/d Capstone Thesis,2024,Fall 2023 - Spring 2024,/hcidepot/objects/thesis/capstone_thesis_2024_nikith_joshua_dsouza.pdf,Colin M. Gray;Kayce Reed-Buechlein;Michael Stalliings,Fereshtehossadat Shojaei;Patrycja Zdziarska,,Interaction Design,User Experience (UX) Design;Academic Research,Education;Academic Research,Students;Researchers;General Public,,"Luddy School of Informatics, Computing, and Engineering",idea generation; design toolkit; collaboration; creativity; constraints; design education; brainstorming; innovation; design process; team dynamics,eng,,© Student Retains Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,pdf,/objects/capstone_poster_2024_nikith_joshua_dsouza.pdf,,/objects/small/capstone_poster_2024_nikith_joshua_dsouza_sm.jpg,/objects/thumbs/capstone_poster_2024_nikith_joshua_dsouza_th.jpg,Capstone Poster of Nikith DSouza
capstone_2024_mayuka_ashwin_lokre,,capstone_poster_2024_mayuka_ashwin_lokre.pdf,application/pdf,Unreel,Mayuka Ashwin Lokre,Mitigation Strategies To Combat Doomscrolling On Instagram Reels.,I695 HCI/d Capstone Thesis,2024,Fall 2023 - Spring 2024,/hcidepot/objects/thesis/capstone_thesis_2024_mayuka_ashwin_lokre.pdf,Colin M. Gray;Kayce Reed-Buechlein;Michael Stalliings,Fereshtehossadat Shojaei;Patrycja Zdziarska,,Academic Research,Social Computing;User Experience (UX) Design;Ethics in Design,Social Media;Healthcare;Education,General Public;Students;Teenagers/Young Adults,,"Luddy School of Informatics, Computing, and Engineering",instagram;doomscrolling;digital wellness;mental-health;behavior patterns;user engagement,eng,,© Student Retains Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,pdf,/objects/capstone_poster_2024_mayuka_ashwin_lokre.pdf,,/objects/small/capstone_poster_2024_mayuka_ashwin_lokre_sm.jpg,/objects/thumbs/capstone_poster_2024_mayuka_ashwin_lokre_th.jpg,Capstone Poster of Mayuka Ashwin Lokre
capstone_2024_waleed_zuberi,,capstone_poster_2024_waleed_zuberi.pdf,application/pdf,Simplifying Book-to-Screen Adaptations for New Fans,Waleed Zuberi,How might we help new fans independently enjoy book-to-screen adaptations and engage with fan communities at their own pace?,I695 HCI/d Capstone Thesis,2024,Fall 2023 - Spring 2024,/hcidepot/objects/thesis/capstone_thesis_2024_waleed_zuberi.pdf,Colin M. Gray;Kayce Reed-Buechlein;Michael Stalliings,Fereshtehossadat Shojaei;Patrycja Zdziarska,https://www.figma.com/proto/3qQCmC33ZSUPKU03bxdSKl/I695-Capstone?page-id=519%3A8414&type=design&node-id=519-8415&viewport=475%2C639%2C0.03&t=3qEL5eHpwag6omIn-1&scaling=scale-down&starting-point-node-id=519%3A8415&show-proto-sidebar=1,Interaction Design,User Experience (UX) Design;Data Visualization,Entertainment;Education,General Public;Students,,"Luddy School of Informatics, Computing, and Engineering",book-to-screen adaptations; user engagement; fan communities; interactive design; content accessibility; media convergence; narrative visualization; user-centered design; adaptation analysis; multimedia storytelling,eng,,© Student Retains Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,pdf,/objects/capstone_poster_2024_waleed_zuberi.pdf,,/objects/small/capstone_poster_2024_waleed_zuberi_sm.jpg,/objects/thumbs/capstone_poster_2024_waleed_zuberi_th.jpg,Capstone Poster of Waleed Zuberi
capstone_2024_samarth_nagaraj,,capstone_poster_2024_samarth_nagaraj.pdf,application/pdf,Providing Workflow Contexts To Reduce Data Hoarding for End-Users,Samarth Nagaraj,How Might We help college students with discarding unwanted files to avoid data hoarding resulting from laziness and lack of time?,I695 HCI/d Capstone Thesis,2024,Fall 2023 - Spring 2024,/hcidepot/objects/thesis/capstone_thesis_2024_samarth_nagaraj.pdf,Colin M. Gray;Kayce Reed-Buechlein;Michael Stalliings,Fereshtehossadat Shojaei;Patrycja Zdziarska,,Service Design,User Experience (UX) Design;Data Visualization,Education;Academic Research,Students;Researchers;General Public,,"Luddy School of Informatics, Computing, and Engineering",Tap Dancingdata hoarding; workflow optimization; user behavior; information management; digital clutter; productivity tools; user-centered design; data visualization; decision-making; digital organization,eng,,© Student Retains Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,pdf,/objects/capstone_poster_2024_samarth_nagaraj.pdf,,/objects/small/capstone_poster_2024_samarth_nagaraj_sm.jpg,/objects/thumbs/capstone_poster_2024_samarth_nagaraj_th.jpg,Capstone Poster of Samarth Nagaraj
capstone_2024_kaustubh_salgaonkar,,capstone_poster_2024_kaustubh_salgaonkar.pdf,application/pdf,Purrfect Parents,Kaustubh Salgaonkar,Getting first-time feline adopters adoption ready!,I695 HCI/d Capstone Thesis,2024,Fall 2023 - Spring 2024,/hcidepot/objects/thesis/capstone_thesis_2024_kaustubh_salgaonkar.pdf,Colin M. Gray;Kayce Reed-Buechlein;Michael Stalliings,Fereshtehossadat Shojaei;Patrycja Zdziarska,,Interaction Design,User Experience (UX) Design);Education,Education;Social Good,General Public;Families,,"Luddy School of Informatics, Computing, and Engineering",feline adoption; pet care education; first-time pet owners; interactive learning; responsible pet ownership; user engagement; onboarding experience,eng,,© Student Retains Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,pdf,/objects/capstone_poster_2024_kaustubh_salgaonkar.pdf,,/objects/small/capstone_poster_2024_kaustubh_salgaonkar_sm.jpg,/objects/thumbs/capstone_poster_2024_kaustubh_salgaonkar_th.jpg,Capstone Poster of Kaustubh Salgaonkar
capstone_2024_juhi_khare,,capstone_poster_2024_juhi_khare.pdf,application/pdf,Decoding Algorithmic Impact,Juhi Khare,Investigating how Instagram Reels feed shape self-perception in young females,I695 HCI/d Capstone Thesis,2024,Fall 2023 - Spring 2024,/hcidepot/objects/thesis/capstone_thesis_2024_juhi_khare.pdf,Colin M. Gray;Kayce Reed-Buechlein;Michael Stalliings,Fereshtehossadat Shojaei;Patrycja Zdziarska,,User Research for Design,Social Computing;Ethics in Design,Social Media;Education,Teenagers/Young Adults;Students;General Public,,"Luddy School of Informatics, Computing, and Engineering",instagram;algorithms;influencer;content,eng,,© Student Retains Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,pdf,/objects/capstone_poster_2024_juhi_khare.pdf,,/objects/small/capstone_poster_2024_juhi_khare_sm.jpg,/objects/thumbs/capstone_poster_2024_juhi_khare_th.jpg,Capstone Poster of Juhi Khare
capstone_2022_atishi_batra,,capstone_poster_2022_atishi_batra.pdf,application/pdf,Living In Limb-o,Atishi Batra,"Living in Limb-o proposes design concepts that will pave the way for normalising conversation around limb loss and difference, ultimately reducing stigma and friction.",I694 HCI/d Capstone Thesis,2022,Jan 2022 - May 2022,/hcidepot/objects/thesis/capstone_thesis_2022_atishi_batra.pdf,Eli Blevis,Victor Zhang;Patrycja Zdziarska,,Interaction Design,Accessibility;User Experience (UX) Design;Social Computing,Healthcare;Social Good,People with Disabilities;General Public;Healthcare Providers,,"Luddy School of Informatics, Computing, and Engineering",limb loss;limb difference;stigma reduction;prosthetics;inclusive design;accessibility;user experience;social integration;healthcare innovation;assistive technology,eng,,© Student Retains Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,pdf,/objects/capstone_poster_2022_atishi_batra.pdf,,/objects/small/capstone_poster_2022_atishi_batra_sm.jpg,/objects/thumbs/capstone_poster_2022_atishi_batra_th.jpg,Capstone Poster of Atishi Batra
capstone_2023_sampada_bhatnagar,,capstone_poster_2023_sampada_bhatnagar.pdf,application/pdf,Therapy Island,Sampada Bhatnagar,Making regular therapy sessions more immersive through VR,I694 HCI/d Capstone Thesis,2023,Fall 2022 - Spring 2023,,Sai Shruthi Chivukula,Ariel Wang,https://sampada-bhatnagar.medium.com/take-a-trip-with-your-therapist-on-this-virtual-island-recreating-traditional-cognitive-84e8711ffdc9,Interaction Design,Virtual Reality (VR);User Experience (UX) Design;Healthcare,Healthcare,General Public;Healthcare Providers;People with Disabilities,,"Luddy School of Informatics, Computing, and Engineering",Virtual reality therapy;immersive therapy sessions;mental health treatment;VR in healthcare;user experience design;therapeutic environments;cognitive behavioral therapy,eng,,© Student Retains Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,pdf,/objects/capstone_poster_2023_sampada_bhatnagar.pdf,,"/objects/small/capstone_poster_2023_sampada_bhatnagar_sm.jpg
","/objects/thumbs/capstone_poster_2023_sampada_bhatnagar_th.jpg
",Capstone Poster of Sampada Bhatnagar
